1: scale_down='30', scale_up='90'
192: scale_down='5', scale_up='62'
193: scale_down='63', scale_up='70'
194: scale_down='9', scale_up='59'
195: scale_down='6', scale_up='63'
196: scale_down='9', scale_up='69'
197: scale_down='6', scale_up='75'
198: scale_down='33', scale_up='39'
199: scale_down='13', scale_up='70'
200: scale_down='6', scale_up='45'
201: scale_down='49', scale_up='60'
202: scale_down='6', scale_up='65'
203: scale_down='46', scale_up='93'
204: scale_down='20', scale_up='79'
205: scale_down='92', scale_up='96'
206: scale_down='34', scale_up='67'
207: scale_down='76', scale_up='85'
208: scale_down='56', scale_up='68'
209: scale_down='40', scale_up='48'
210: scale_down='46', scale_up='84'
211: scale_down='10', scale_up='47'
212: scale_down='13', scale_up='86'
213: scale_down='0', scale_up='46'
214: scale_down='18', scale_up='81'
215: scale_down='82', scale_up='88'
216: scale_down='18', scale_up='82'
217: scale_down='4', scale_up='46'
218: scale_down='81', scale_up='88'
219: scale_down='13', scale_up='28'
220: scale_down='72', scale_up='77'
221: scale_down='47', scale_up='96'
222: scale_down='19', scale_up='75'
223: scale_down='71', scale_up='94'
224: scale_down='1', scale_up='58'
225: scale_down='12', scale_up='87'
226: scale_down='29', scale_up='73'
227: scale_down='38', scale_up='58'
228: scale_down='88', scale_up='95'
229: scale_down='11', scale_up='90'
230: scale_down='32', scale_up='56'
231: scale_down='3', scale_up='90'
232: scale_down='61', scale_up='89'
233: scale_down='41', scale_up='46'
234: scale_down='17', scale_up='34'
235: scale_down='63', scale_up='73'
236: scale_down='69', scale_up='82'
237: scale_down='43', scale_up='73'
238: scale_down='20', scale_up='81'
239: scale_down='27', scale_up='52'
240: scale_down='31', scale_up='87'
241: scale_down='27', scale_up='100'
242: scale_down='4', scale_up='49'
243: scale_down='34', scale_up='48'
244: scale_down='4', scale_up='60'
245: scale_down='3', scale_up='37'
246: scale_down='20', scale_up='58'
247: scale_down='91', scale_up='98'
248: scale_down='72', scale_up='81'
249: scale_down='71', scale_up='78'
250: scale_down='71', scale_up='77'
251: scale_down='69', scale_up='81'
252: scale_down='22', scale_up='58'
253: scale_down='37', scale_up='42'
254: scale_down='9', scale_up='37'
255: scale_down='26', scale_up='32'
256: scale_down='66', scale_up='86'
257: scale_down='7', scale_up='75'
258: scale_down='10', scale_up='79'
259: scale_down='38', scale_up='62'
260: scale_down='10', scale_up='20'
261: scale_down='38', scale_up='93'
262: scale_down='86', scale_up='88'
263: scale_down='1', scale_up='83'
264: scale_down='4', scale_up='36'
265: scale_down='18', scale_up='47'
266: scale_down='40', scale_up='49'
267: scale_down='19', scale_up='81'
268: scale_down='18', scale_up='46'
269: scale_down='77', scale_up='85'
270: scale_down='34', scale_up='76'
271: scale_down='43', scale_up='72'
272: scale_down='56', scale_up='92'
273: scale_down='63', scale_up='90'
274: scale_down='12', scale_up='97'
275: scale_down='31', scale_up='65'
276: scale_down='62', scale_up='86'
277: scale_down='0', scale_up='27'
278: scale_down='53', scale_up='70'
279: scale_down='15', scale_up='63'
280: scale_down='20', scale_up='78'
281: scale_down='18', scale_up='99'
282: scale_down='55', scale_up='62'
283: scale_down='71', scale_up='76'
284: scale_down='9', scale_up='11'
285: scale_down='54', scale_up='63'
286: scale_down='11', scale_up='45'
287: scale_down='22', scale_up='37'
288: scale_down='54', scale_up='90'
289: scale_down='24', scale_up='61'
290: scale_down='56', scale_up='91'
291: scale_down='2', scale_up='28'
292: scale_down='17', scale_up='79'
293: scale_down='3', scale_up='48'
294: scale_down='24', scale_up='42'
295: scale_down='70', scale_up='73'
296: scale_down='33', scale_up='66'
297: scale_down='36', scale_up='50'
298: scale_down='20', scale_up='73'
299: scale_down='20', scale_up='76'
300: scale_down='60', scale_up='96'
301: scale_down='83', scale_up='91'
302: scale_down='73', scale_up='86'
303: scale_down='1', scale_up='76'
304: scale_down='14', scale_up='27'
305: scale_down='32', scale_up='87'
306: scale_down='34', scale_up='88'
307: scale_down='77', scale_up='82'
308: scale_down='52', scale_up='55'
309: scale_down='52', scale_up='93'
310: scale_down='64', scale_up='65'
311: scale_down='16', scale_up='77'
312: scale_down='29', scale_up='62'
313: scale_down='26', scale_up='99'
314: scale_down='75', scale_up='90'
315: scale_down='32', scale_up='73'
316: scale_down='28', scale_up='79'
317: scale_down='67', scale_up='80'
318: scale_down='85', scale_up='93'
319: scale_down='65', scale_up='95'
320: scale_down='53', scale_up='96'
321: scale_down='9', scale_up='21'
322: scale_down='43', scale_up='49'
323: scale_down='61', scale_up='68'
324: scale_down='43', scale_up='74'
325: scale_down='47', scale_up='95'
326: scale_down='35', scale_up='44'
327: scale_down='65', scale_up='89'
328: scale_down='15', scale_up='26'
329: scale_down='11', scale_up='64'
330: scale_down='66', scale_up='78'
331: scale_down='64', scale_up='78'
332: scale_down='10', scale_up='94'
333: scale_down='44', scale_up='69'
334: scale_down='20', scale_up='48'
335: scale_down='89', scale_up='93'
336: scale_down='11', scale_up='92'
337: scale_down='51', scale_up='85'
338: scale_down='68', scale_up='83'
339: scale_down='20', scale_up='100'
340: scale_down='25', scale_up='75'
341: scale_down='24', scale_up='100'
342: scale_down='50', scale_up='56'
343: scale_down='17', scale_up='28'
344: scale_down='85', scale_up='88'
345: scale_down='21', scale_up='87'
346: scale_down='79', scale_up='89'
347: scale_down='59', scale_up='76'
348: scale_down='7', scale_up='29'
349: scale_down='4', scale_up='12'
350: scale_down='41', scale_up='47'
351: scale_down='89', scale_up='97'
352: scale_down='33', scale_up='89'
353: scale_down='10', scale_up='78'
354: scale_down='5', scale_up='26'
355: scale_down='10', scale_up='63'
356: scale_down='2', scale_up='74'
357: scale_down='22', scale_up='94'
358: scale_down='61', scale_up='63'
359: scale_down='89', scale_up='94'
360: scale_down='77', scale_up='79'
361: scale_down='11', scale_up='54'
362: scale_down='7', scale_up='21'
363: scale_down='15', scale_up='17'
364: scale_down='57', scale_up='62'
365: scale_down='5', scale_up='10'
366: scale_down='19', scale_up='86'
367: scale_down='0', scale_up='35'
368: scale_down='27', scale_up='95'
369: scale_down='29', scale_up='94'
370: scale_down='0', scale_up='2'
371: scale_down='84', scale_up='93'
372: scale_down='57', scale_up='97'
373: scale_down='28', scale_up='37'
374: scale_down='6', scale_up='73'
375: scale_down='36', scale_up='73'
376: scale_down='21', scale_up='50'
377: scale_down='89', scale_up='98'
378: scale_down='18', scale_up='31'
379: scale_down='47', scale_up='70'
380: scale_down='13', scale_up='20'
381: scale_down='37', scale_up='50'
382: scale_down='59', scale_up='64'
383: scale_down='25', scale_up='55'
384: scale_down='4', scale_up='64'
385: scale_down='1', scale_up='81'
386: scale_down='88', scale_up='100'
387: scale_down='19', scale_up='95'
388: scale_down='60', scale_up='93'
389: scale_down='38', scale_up='96'
390: scale_down='56', scale_up='79'
391: scale_down='1', scale_up='33'
392: scale_down='40', scale_up='98'
393: scale_down='60', scale_up='91'
394: scale_down='56', scale_up='95'
395: scale_down='51', scale_up='84'
396: scale_down='17', scale_up='92'
397: scale_down='0', scale_up='61'
398: scale_down='20', scale_up='50'
399: scale_down='9', scale_up='92'
400: scale_down='8', scale_up='52'
401: scale_down='43', scale_up='44'
402: scale_down='14', scale_up='40'
403: scale_down='31', scale_up='66'
404: scale_down='34', scale_up='99'
405: scale_down='78', scale_up='91'
406: scale_down='66', scale_up='84'
407: scale_down='4', scale_up='71'
408: scale_down='69', scale_up='73'
409: scale_down='68', scale_up='70'
410: scale_down='8', scale_up='66'
411: scale_down='28', scale_up='77'
412: scale_down='26', scale_up='84'
413: scale_down='28', scale_up='59'
414: scale_down='7', scale_up='84'
415: scale_down='5', scale_up='19'
416: scale_down='2', scale_up='51'
417: scale_down='18', scale_up='56'
418: scale_down='66', scale_up='87'
419: scale_down='28', scale_up='67'
420: scale_down='16', scale_up='25'
421: scale_down='19', scale_up='36'
422: scale_down='40', scale_up='41'
423: scale_down='43', scale_up='91'
424: scale_down='11', scale_up='44'
425: scale_down='2', scale_up='45'
426: scale_down='14', scale_up='37'
427: scale_down='33', scale_up='92'
428: scale_down='31', scale_up='49'
429: scale_down='8', scale_up='68'
430: scale_down='7', scale_up='69'
431: scale_down='63', scale_up='86'
432: scale_down='2', scale_up='32'
433: scale_down='1', scale_up='62'
434: scale_down='31', scale_up='92'
435: scale_down='15', scale_up='67'
436: scale_down='37', scale_up='97'
437: scale_down='8', scale_up='54'
438: scale_down='41', scale_up='65'
439: scale_down='55', scale_up='85'
440: scale_down='13', scale_up='34'
441: scale_down='70', scale_up='77'
442: scale_down='54', scale_up='74'
443: scale_down='60', scale_up='69'
444: scale_down='13', scale_up='68'
445: scale_down='3', scale_up='65'
446: scale_down='61', scale_up='79'
447: scale_down='19', scale_up='66'
448: scale_down='35', scale_up='45'
449: scale_down='30', scale_up='57'
450: scale_down='36', scale_up='77'
451: scale_down='82', scale_up='97'
452: scale_down='59', scale_up='70'
453: scale_down='41', scale_up='74'
454: scale_down='19', scale_up='72'
455: scale_down='16', scale_up='79'
456: scale_down='19', scale_up='38'
457: scale_down='64', scale_up='85'
458: scale_down='2', scale_up='11'
459: scale_down='11', scale_up='72'
460: scale_down='6', scale_up='27'
461: scale_down='27', scale_up='44'
462: scale_down='21', scale_up='93'
463: scale_down='8', scale_up='72'
464: scale_down='20', scale_up='34'
465: scale_down='2', scale_up='19'
466: scale_down='40', scale_up='82'
467: scale_down='87', scale_up='88'
468: scale_down='23', scale_up='54'
469: scale_down='33', scale_up='85'
470: scale_down='21', scale_up='72'
471: scale_down='60', scale_up='65'
472: scale_down='24', scale_up='84'
473: scale_down='69', scale_up='91'
474: scale_down='90', scale_up='97'
475: scale_down='22', scale_up='26'
476: scale_down='44', scale_up='84'
477: scale_down='10', scale_up='86'
478: scale_down='93', scale_up='95'
479: scale_down='21', scale_up='54'
480: scale_down='35', scale_up='65'
481: scale_down='57', scale_up='67'
482: scale_down='14', scale_up='76'
483: scale_down='12', scale_up='48'
484: scale_down='15', scale_up='70'
485: scale_down='64', scale_up='100'
486: scale_down='6', scale_up='99'
487: scale_down='3', scale_up='100'
488: scale_down='21', scale_up='44'
489: scale_down='10', scale_up='93'
490: scale_down='59', scale_up='63'
491: scale_down='32', scale_up='81'
492: scale_down='5', scale_up='7'
493: scale_down='31', scale_up='72'
494: scale_down='21', scale_up='84'
495: scale_down='72', scale_up='78'
496: scale_down='40', scale_up='88'
497: scale_down='51', scale_up='78'
498: scale_down='33', scale_up='74'
499: scale_down='20', scale_up='69'
500: scale_down='19', scale_up='92'
501: scale_down='34', scale_up='41'
502: scale_down='14', scale_up='41'
503: scale_down='4', scale_up='16'
504: scale_down='21', scale_up='66'
505: scale_down='17', scale_up='94'
506: scale_down='20', scale_up='39'
507: scale_down='1', scale_up='52'
508: scale_down='24', scale_up='43'
509: scale_down='60', scale_up='90'
510: scale_down='14', scale_up='70'
511: scale_down='1', scale_up='5'
512: scale_down='44', scale_up='50'
513: scale_down='12', scale_up='83'
514: scale_down='18', scale_up='88'
515: scale_down='10', scale_up='67'
516: scale_down='52', scale_up='96'
517: scale_down='10', scale_up='11'
518: scale_down='68', scale_up='91'
519: scale_down='22', scale_up='47'
520: scale_down='27', scale_up='43'
521: scale_down='50', scale_up='62'
522: scale_down='9', scale_up='65'
523: scale_down='55', scale_up='80'
524: scale_down='31', scale_up='37'
525: scale_down='56', scale_up='74'
526: scale_down='10', scale_up='65'
527: scale_down='75', scale_up='98'
528: scale_down='67', scale_up='93'
529: scale_down='72', scale_up='75'
530: scale_down='47', scale_up='61'
531: scale_down='76', scale_up='89'
532: scale_down='43', scale_up='80'
533: scale_down='39', scale_up='93'
534: scale_down='13', scale_up='43'
535: scale_down='5', scale_up='84'
536: scale_down='39', scale_up='90'
537: scale_down='58', scale_up='89'
538: scale_down='75', scale_up='95'
539: scale_down='11', scale_up='79'
540: scale_down='16', scale_up='100'
541: scale_down='49', scale_up='50'
542: scale_down='6', scale_up='24'
543: scale_down='34', scale_up='36'
544: scale_down='11', scale_up='29'
545: scale_down='30', scale_up='39'
546: scale_down='62', scale_up='100'
547: scale_down='64', scale_up='74'
548: scale_down='19', scale_up='41'
549: scale_down='12', scale_up='31'
550: scale_down='3', scale_up='13'
551: scale_down='0', scale_up='100'
552: scale_down='49', scale_up='72'
553: scale_down='9', scale_up='31'
554: scale_down='1', scale_up='63'
555: scale_down='21', scale_up='71'
556: scale_down='1', scale_up='11'
557: scale_down='24', scale_up='32'
558: scale_down='50', scale_up='61'
559: scale_down='46', scale_up='99'
560: scale_down='65', scale_up='100'
561: scale_down='54', scale_up='100'
562: scale_down='21', scale_up='49'
563: scale_down='58', scale_up='78'
564: scale_down='38', scale_up='39'
565: scale_down='31', scale_up='68'
566: scale_down='0', scale_up='76'
567: scale_down='21', scale_up='96'
568: scale_down='41', scale_up='49'
569: scale_down='42', scale_up='63'
570: scale_down='4', scale_up='32'
571: scale_down='47', scale_up='57'
572: scale_down='4', scale_up='73'
573: scale_down='48', scale_up='84'
574: scale_down='19', scale_up='65'
575: scale_down='4', scale_up='80'
576: scale_down='62', scale_up='88'
577: scale_down='9', scale_up='62'
578: scale_down='28', scale_up='53'
579: scale_down='26', scale_up='43'
580: scale_down='16', scale_up='59'
581: scale_down='76', scale_up='78'
582: scale_down='22', scale_up='81'
583: scale_down='34', scale_up='91'
584: scale_down='91', scale_up='94'
585: scale_down='36', scale_up='87'
586: scale_down='77', scale_up='90'
587: scale_down='38', scale_up='74'
588: scale_down='19', scale_up='98'
589: scale_down='18', scale_up='89'
590: scale_down='31', scale_up='61'
591: scale_down='7', scale_up='87'
592: scale_down='2', scale_up='13'
593: scale_down='29', scale_up='95'
594: scale_down='46', scale_up='52'
595: scale_down='16', scale_up='50'
596: scale_down='84', scale_up='87'
597: scale_down='11', scale_up='27'
598: scale_down='25', scale_up='32'
599: scale_down='44', scale_up='67'
600: scale_down='4', scale_up='37'
601: scale_down='1', scale_up='91'
602: scale_down='4', scale_up='54'
603: scale_down='44', scale_up='57'
604: scale_down='40', scale_up='83'
605: scale_down='3', scale_up='76'
606: scale_down='4', scale_up='13'
607: scale_down='15', scale_up='75'
608: scale_down='16', scale_up='45'
609: scale_down='41', scale_up='56'
610: scale_down='11', scale_up='37'
611: scale_down='73', scale_up='94'
612: scale_down='3', scale_up='4'
613: scale_down='24', scale_up='64'
614: scale_down='11', scale_up='49'
615: scale_down='37', scale_up='71'
616: scale_down='20', scale_up='62'
617: scale_down='2', scale_up='34'
618: scale_down='3', scale_up='14'
619: scale_down='24', scale_up='56'
620: scale_down='17', scale_up='24'
621: scale_down='38', scale_up='81'
622: scale_down='31', scale_up='74'
623: scale_down='22', scale_up='30'
624: scale_down='80', scale_up='95'
625: scale_down='22', scale_up='27'
626: scale_down='30', scale_up='45'
627: scale_down='75', scale_up='100'
628: scale_down='58', scale_up='61'
629: scale_down='74', scale_up='84'
630: scale_down='3', scale_up='38'
631: scale_down='19', scale_up='88'
632: scale_down='41', scale_up='99'
633: scale_down='29', scale_up='61'
634: scale_down='10', scale_up='57'
635: scale_down='15', scale_up='71'
636: scale_down='6', scale_up='83'
637: scale_down='25', scale_up='44'
638: scale_down='15', scale_up='57'
639: scale_down='47', scale_up='73'
640: scale_down='27', scale_up='97'
641: scale_down='64', scale_up='92'
642: scale_down='81', scale_up='86'
643: scale_down='1', scale_up='16'
644: scale_down='13', scale_up='64'
645: scale_down='43', scale_up='99'
646: scale_down='11', scale_up='46'
647: scale_down='17', scale_up='25'
648: scale_down='11', scale_up='63'
649: scale_down='19', scale_up='22'
650: scale_down='27', scale_up='79'
651: scale_down='33', scale_up='96'
652: scale_down='21', scale_up='39'
653: scale_down='43', scale_up='92'
654: scale_down='0', scale_up='13'
655: scale_down='47', scale_up='78'
656: scale_down='59', scale_up='95'
